"Province","ProgramGroup","ProgramType","ProgramDetail","Date","Value"
"Alberta","Economic","Worker Program","Skilled Worker",2017-09-01,325
"Alberta","Economic","Business","Entrepreneur",2017-09-01,0
"Alberta","Economic","Business","Investor",2017-09-01,0
"Alberta","Economic","Business","Self-Employed",2017-09-01,0
"Alberta","Economic","Business","Start-up Business",2017-09-01,0
"Alberta","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-09-01,350
"Alberta","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-09-01,0
"Alberta","Sponsored Family","Sponsored Family","Sponsored Children",2017-09-01,50
"Alberta","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-09-01,5
"Alberta","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-09-01,220
"Alberta","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-09-01,580
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-09-01,15
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-09-01,130
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-09-01,205
"British Columbia","Economic","Worker Program","Agri-Food Pilot",2017-09-01,0
"British Columbia","Economic","Worker Program","Canadian Experience",2017-09-01,390
"British Columbia","Economic","Worker Program","Caregiver",2017-09-01,310
"British Columbia","Economic","Worker Program","Rural and Northern Immigration",2017-09-01,0
"British Columbia","Economic","Worker Program","Skilled Trade",2017-09-01,25
"British Columbia","Economic","Worker Program","Skilled Worker",2017-09-01,420
"British Columbia","Economic","Business","Entrepreneur",2017-09-01,0
"British Columbia","Economic","Business","Investor",2017-09-01,0
"British Columbia","Economic","Business","Self-Employed",2017-09-01,0
"British Columbia","Economic","Business","Start-up Business",2017-09-01,5
"British Columbia","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-09-01,655
"British Columbia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-09-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Children",2017-09-01,25
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-09-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-09-01,230
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-09-01,615
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-09-01,30
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-09-01,80
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-09-01,85
"Yukon","Economic","Worker Program","Canadian Experience",2017-09-01,0
"Yukon","Economic","Worker Program","Caregiver",2017-09-01,0
"Yukon","Economic","Worker Program","Skilled Trade",2017-09-01,0
"Yukon","Economic","Worker Program","Skilled Worker",2017-09-01,0
"Yukon","Economic","Business","Self-Employed",2017-09-01,0
"Yukon","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-09-01,10
"Yukon","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Children",2017-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-09-01,5
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-09-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-09-01,0
"Northwest Territories","Economic","Worker Program","Canadian Experience",2017-09-01,0
"Northwest Territories","Economic","Worker Program","Caregiver",2017-09-01,0
"Northwest Territories","Economic","Worker Program","Skilled Trade",2017-09-01,0
"Northwest Territories","Economic","Worker Program","Skilled Worker",2017-09-01,0
"Northwest Territories","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-09-01,0
"Northwest Territories","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Children",2017-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-09-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-09-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-09-01,0
"Nunavut","Economic","Worker Program","Canadian Experience",2017-09-01,0
"Nunavut","Economic","Worker Program","Caregiver",2017-09-01,0
"Nunavut","Economic","Worker Program","Skilled Trade",2017-09-01,0
"Nunavut","Economic","Worker Program","Skilled Worker",2017-09-01,0
"Nunavut","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-09-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Children",2017-09-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-09-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-09-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-09-01,0
"Nunavut","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-09-01,0
"Newfoundland and Labrador","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-10-01,0
"Newfoundland and Labrador","Economic","Worker Program","Canadian Experience",2017-10-01,10
"Newfoundland and Labrador","Economic","Worker Program","Caregiver",2017-10-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Worker",2017-10-01,5
"Newfoundland and Labrador","Economic","Business","Self-Employed",2017-10-01,0
"Newfoundland and Labrador","Economic","Business","Start-up Business",2017-10-01,0
"Newfoundland and Labrador","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,15
"Newfoundland and Labrador","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,10
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,10
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,10
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,0
"Prince Edward Island","Economic","Worker Program","Agri-Food Pilot",2017-10-01,0
"Prince Edward Island","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-10-01,0
"Prince Edward Island","Economic","Worker Program","Canadian Experience",2017-10-01,5
"Prince Edward Island","Economic","Worker Program","Caregiver",2017-10-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Worker",2017-10-01,0
"Prince Edward Island","Economic","Business","Self-Employed",2017-10-01,0
"Prince Edward Island","Economic","Business","Start-up Business",2017-10-01,0
"Prince Edward Island","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,180
"Prince Edward Island","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,5
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,0
"Nova Scotia","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-10-01,0
"Nova Scotia","Economic","Worker Program","Canadian Experience",2017-10-01,25
"Nova Scotia","Economic","Worker Program","Caregiver",2017-10-01,10
"Nova Scotia","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Nova Scotia","Economic","Worker Program","Skilled Worker",2017-10-01,40
"Nova Scotia","Economic","Business","Self-Employed",2017-10-01,0
"Nova Scotia","Economic","Business","Start-up Business",2017-10-01,0
"Nova Scotia","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,195
"Nova Scotia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,5
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,30
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,0
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,15
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,0
"New Brunswick","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-10-01,15
"New Brunswick","Economic","Worker Program","Canadian Experience",2017-10-01,10
"New Brunswick","Economic","Worker Program","Caregiver",2017-10-01,0
"New Brunswick","Economic","Worker Program","Skilled Trade",2017-10-01,0
"New Brunswick","Economic","Worker Program","Skilled Worker",2017-10-01,15
"New Brunswick","Economic","Business","Self-Employed",2017-10-01,0
"New Brunswick","Economic","Business","Start-up Business",2017-10-01,0
"New Brunswick","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,190
"New Brunswick","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,20
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,10
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,20
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,10
"Quebec","Economic","Worker Program","Canadian Experience",2017-10-01,0
"Quebec","Economic","Worker Program","Caregiver",2017-10-01,35
"Quebec","Economic","Worker Program","Skilled Worker",2017-10-01,NA
"Quebec","Economic","Business","Entrepreneur",2017-10-01,20
"Quebec","Economic","Business","Investor",2017-10-01,185
"Quebec","Economic","Business","Self-Employed",2017-10-01,5
"Quebec","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,60
"Quebec","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,175
"Quebec","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,650
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,0
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,60
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,350
"Ontario","Economic","Worker Program","Agri-Food Pilot",2017-10-01,0
"Ontario","Economic","Worker Program","Canadian Experience",2017-10-01,NA
"Ontario","Economic","Worker Program","Caregiver",2017-10-01,615
"Ontario","Economic","Worker Program","Rural and Northern Immigration",2017-10-01,0
"Ontario","Economic","Worker Program","Skilled Trade",2017-10-01,20
"Ontario","Economic","Worker Program","Skilled Worker",2017-10-01,NA
"Ontario","Economic","Business","Entrepreneur",2017-10-01,0
"Ontario","Economic","Business","Investor",2017-10-01,0
"Ontario","Economic","Business","Self-Employed",2017-10-01,15
"Ontario","Economic","Business","Start-up Business",2017-10-01,10
"Ontario","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,625
"Ontario","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Ontario","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,95
"Ontario","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,10
"Ontario","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,690
"Ontario","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,NA
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,40
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,135
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,380
"Manitoba","Economic","Worker Program","Agri-Food Pilot",2017-10-01,0
"Manitoba","Economic","Worker Program","Canadian Experience",2017-10-01,20
"Manitoba","Economic","Worker Program","Caregiver",2017-10-01,5
"Manitoba","Economic","Worker Program","Rural and Northern Immigration",2017-10-01,0
"Manitoba","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Manitoba","Economic","Worker Program","Skilled Worker",2017-10-01,55
"Manitoba","Economic","Business","Entrepreneur",2017-10-01,0
"Manitoba","Economic","Business","Self-Employed",2017-10-01,0
"Manitoba","Economic","Business","Start-up Business",2017-10-01,0
"Manitoba","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,605
"Manitoba","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,5
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,25
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,105
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,0
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,10
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,105
"Saskatchewan","Economic","Worker Program","Agri-Food Pilot",2017-10-01,0
"Saskatchewan","Economic","Worker Program","Canadian Experience",2017-10-01,60
"Saskatchewan","Economic","Worker Program","Caregiver",2017-10-01,25
"Saskatchewan","Economic","Worker Program","Rural and Northern Immigration",2017-10-01,0
"Saskatchewan","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Saskatchewan","Economic","Worker Program","Skilled Worker",2017-10-01,45
"Saskatchewan","Economic","Business","Self-Employed",2017-10-01,0
"Saskatchewan","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,760
"Saskatchewan","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,20
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,95
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,5
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,35
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,40
"Alberta","Economic","Worker Program","Agri-Food Pilot",2017-10-01,0
"Alberta","Economic","Worker Program","Canadian Experience",2017-10-01,385
"Alberta","Economic","Worker Program","Caregiver",2017-10-01,265
"Alberta","Economic","Worker Program","Rural and Northern Immigration",2017-10-01,0
"Alberta","Economic","Worker Program","Skilled Trade",2017-10-01,20
"Alberta","Economic","Worker Program","Skilled Worker",2017-10-01,335
"Alberta","Economic","Business","Entrepreneur",2017-10-01,0
"Alberta","Economic","Business","Investor",2017-10-01,0
"Alberta","Economic","Business","Self-Employed",2017-10-01,0
"Alberta","Economic","Business","Start-up Business",2017-10-01,0
"Alberta","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,245
"Alberta","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Alberta","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,40
"Alberta","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,5
"Alberta","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,225
"Alberta","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,775
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,10
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,70
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,135
"British Columbia","Economic","Worker Program","Agri-Food Pilot",2017-10-01,0
"British Columbia","Economic","Worker Program","Canadian Experience",2017-10-01,540
"British Columbia","Economic","Worker Program","Caregiver",2017-10-01,255
"British Columbia","Economic","Worker Program","Rural and Northern Immigration",2017-10-01,0
"British Columbia","Economic","Worker Program","Skilled Trade",2017-10-01,25
"British Columbia","Economic","Worker Program","Skilled Worker",2017-10-01,440
"British Columbia","Economic","Business","Entrepreneur",2017-10-01,0
"British Columbia","Economic","Business","Investor",2017-10-01,0
"British Columbia","Economic","Business","Self-Employed",2017-10-01,10
"British Columbia","Economic","Business","Start-up Business",2017-10-01,0
"British Columbia","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,490
"British Columbia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,15
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,200
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,615
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,25
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-10-01,50
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,90
"Yukon","Economic","Worker Program","Canadian Experience",2017-10-01,0
"Yukon","Economic","Worker Program","Caregiver",2017-10-01,0
"Yukon","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Yukon","Economic","Worker Program","Skilled Worker",2017-10-01,0
"Yukon","Economic","Business","Self-Employed",2017-10-01,0
"Yukon","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,5
"Yukon","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,0
"Northwest Territories","Economic","Worker Program","Canadian Experience",2017-10-01,0
"Northwest Territories","Economic","Worker Program","Caregiver",2017-10-01,0
"Northwest Territories","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Northwest Territories","Economic","Worker Program","Skilled Worker",2017-10-01,0
"Northwest Territories","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-10-01,0
"Northwest Territories","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-10-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,0
"Nunavut","Economic","Worker Program","Canadian Experience",2017-10-01,0
"Nunavut","Economic","Worker Program","Caregiver",2017-10-01,0
"Nunavut","Economic","Worker Program","Skilled Trade",2017-10-01,0
"Nunavut","Economic","Worker Program","Skilled Worker",2017-10-01,0
"Nunavut","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-10-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Children",2017-10-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-10-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-10-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-10-01,0
"Nunavut","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-10-01,0
"Newfoundland and Labrador","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-11-01,0
"Newfoundland and Labrador","Economic","Worker Program","Canadian Experience",2017-11-01,25
"Newfoundland and Labrador","Economic","Worker Program","Caregiver",2017-11-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Trade",2017-11-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Worker",2017-11-01,5
"Newfoundland and Labrador","Economic","Business","Self-Employed",2017-11-01,0
"Newfoundland and Labrador","Economic","Business","Start-up Business",2017-11-01,0
"Newfoundland and Labrador","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-11-01,15
"Newfoundland and Labrador","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-11-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Children",2017-11-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-11-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-11-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-11-01,10
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-11-01,0
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-11-01,0
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-11-01,0
"Prince Edward Island","Economic","Worker Program","Agri-Food Pilot",2017-11-01,0
"Prince Edward Island","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-11-01,15
"Prince Edward Island","Economic","Worker Program","Canadian Experience",2017-11-01,10
"Prince Edward Island","Economic","Worker Program","Caregiver",2017-11-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Trade",2017-11-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Worker",2017-11-01,0
"Prince Edward Island","Economic","Business","Self-Employed",2017-11-01,0
"Prince Edward Island","Economic","Business","Start-up Business",2017-11-01,0
"Prince Edward Island","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-11-01,90
"Prince Edward Island","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-11-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Children",2017-11-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-11-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-11-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2017-11-01,10
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2017-11-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2017-11-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2017-11-01,10
"Nova Scotia","Economic","Worker Program","Atlantic Immigration Pilot Programs",2017-11-01,0
"Nova Scotia","Economic","Worker Program","Canadian Experience",2017-11-01,35
"Nova Scotia","Economic","Worker Program","Caregiver",2017-11-01,0
"Nova Scotia","Economic","Worker Program","Skilled Trade",2017-11-01,0
"Nova Scotia","Economic","Worker Program","Skilled Worker",2017-11-01,25
"Nova Scotia","Economic","Business","Self-Employed",2017-11-01,0
"Nova Scotia","Economic","Business","Start-up Business",2017-11-01,0
"Nova Scotia","Economic","Provincial Nominee Program","Provincial Nominee Program",2017-11-01,155
"Nova Scotia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2017-11-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Children",2017-11-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2017-11-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2017-11-01,5
